x,y
363,2
393,3
417,3
436,1
452,4
485,4
507,7
529,4
552,4
327,4
355,10
561,5
425,6
466,8
544,5
331,9
476,10
579,10
289,12
345,10
369,10
441,11
314,12
390,11
417,12
453,12
522,16
531,15
546,14
324,14
336,15
430,30
373,15
457,26
491,19
556,18
344,17
364,19
438,19
446,19
473,18
484,18
588,20
318,25
503,23
536,23
547,22
356,24
369,27
412,24
512,26
398,26
524,26
123,30
138,29
344,28
384,28
443,28
412,31
531,34
292,33
308,34
358,33
146,35
348,35
419,34
325,37
339,37
542,37
579,37
367,39
447,39
357,40
454,41
554,44
590,44
296,42
312,43
351,44
405,45
417,44
440,45
320,47
386,47
571,46
308,49
328,48
545,49
281,52
296,51
368,51
394,51
529,50
603,57
332,53
275,55
311,57
323,55
401,55
394,59
546,56
589,57
250,65
286,58
173,63
293,60
527,68
540,64
565,66
268,64
302,62
278,64
556,64
284,68
329,67
293,68
318,76
304,71
338,71
555,74
611,73
592,74
275,76
546,75
327,90
346,81
268,82
287,81
304,82
378,85
530,85
586,81
538,82
546,83
567,82
615,84
496,85
513,87
554,86
259,94
279,90
518,92
319,89
536,87
304,92
502,95
575,92
295,93
338,94
355,94
381,96
484,94
543,95
343,102
526,98
553,96
536,100
305,101
365,103
388,104
379,106
465,110
491,106
546,104
557,105
580,105
304,111
440,112
568,110
287,112
292,112
351,113
224,113
365,114
541,111
603,112
332,118
411,117
499,119
484,120
286,120
476,122
554,127
592,121
306,124
350,125
573,125
315,124
381,124
562,126
603,126
293,132
615,129
325,129
586,129
332,130
343,132
375,130
545,131
255,134
277,133
303,133
315,132
399,134
528,134
580,132
232,136
360,137
391,134
476,136
491,139
514,134
566,135
590,137
601,136
610,136
622,139
370,138
558,141
582,139
276,149
311,141
298,143
346,144
503,142
536,142
381,143
414,146
601,146
246,153
262,148
374,147
476,147
523,147
571,148
226,149
400,147
235,151
296,152
307,152
324,150
334,153
388,151
513,150
592,155
583,153
364,157
486,163
632,156
379,157
549,156
619,158
230,160
430,160
508,158
534,160
565,158
256,162
269,161
317,165
347,163
390,161
438,160
474,161
599,163
609,161
529,165
615,166
637,171
239,168
282,170
383,167
432,172
465,171
556,167
580,168
217,170
332,168
271,172
361,175
534,172
600,171
658,172
314,173
349,174
403,175
414,172
514,174
544,175
305,175
333,178
392,178
646,179
376,180
447,181
476,178
599,181
617,181
320,181
245,185
277,186
460,184
521,184
222,186
266,188
295,190
347,186
403,186
551,184
390,187
540,187
692,189
607,189
638,191
308,192
327,191
366,196
456,192
469,191
508,191
570,193
594,192
283,193
376,195
436,196
488,195
518,195
625,195
234,198
392,198
542,198
342,200
352,199
418,199
560,201
244,203
278,202
311,201
502,202
695,201
320,203
328,203
296,206
527,205
586,205
610,205
435,207
516,208
596,208
352,209
394,210
661,211
412,212
486,212
627,210
461,219
499,215
534,213
298,218
321,220
338,220
573,214
246,217
285,218
273,220
374,219
615,219
256,225
398,223
543,223
565,225
601,222
629,224
671,226
516,228
362,229
387,229
412,229
352,232
557,232
727,232
398,234
617,234
530,236
569,236
603,236
280,240
292,237
375,237
321,241
560,240
240,242
635,243
346,243
362,243
419,245
493,245
512,246
576,246
656,245
674,246
586,247
701,248
267,248
304,250
544,250
462,255
323,253
394,253
534,253
559,254
623,258
406,256
428,255
656,256
480,258
519,258
639,257
244,259
738,260
374,261
549,262
265,263
280,264
482,263
228,265
339,269
499,267
660,267
390,269
540,270
638,270
236,274
312,273
436,274
560,274
610,274
410,276
217,278
298,279
317,281
419,281
476,280
528,280
674,280
693,282
372,285
513,285
756,284
307,287
336,287
450,288
473,290
544,292
662,292
762,293
228,293
273,294
401,295
251,297
297,299
500,298
527,298
350,300
329,303
362,301
564,301
161,305
441,305
342,307
638,307
587,309
773,308
518,309
412,312
544,312
243,314
322,315
366,316
396,316
495,317
612,316
284,317
427,318
557,319
219,323
456,323
252,325
650,324
675,324
578,326
766,329
792,329
411,330
206,333
233,334
337,334
357,335
383,333
618,335
291,341
525,339
650,340
699,342
809,343
309,344
563,344
613,345
251,346
678,343
582,348
677,353
181,352
292,352
126,358
275,357
365,358
537,362
689,362
225,365
615,366
146,369
648,369
585,371
697,371
390,374
559,372
326,376
250,377
356,379
305,380
535,381
736,381
672,382
277,385
514,383
202,386
258,395
409,395
704,394
320,397
343,397
478,399
754,398
178,400
235,400
522,402
378,405
579,403
683,408
718,408
187,410
565,410
650,410
591,415
551,423
636,420
332,425
692,427
479,427
757,426
221,428
302,428
429,429
460,430
393,433
176,435
356,435
456,432
736,442
711,443
877,444
258,448
607,447
107,448
200,448
720,447
505,450
666,451
288,453
428,452
546,457
751,457
404,458
640,458
213,461
585,463
371,467
239,475
487,468
813,468
125,471
323,472
728,475
700,476
257,481
449,478
501,479
631,480
488,486
544,484
229,489
288,489
600,489
352,492
475,498
654,492
772,493
187,494
204,494
234,492
386,496
684,497
158,501
756,502
812,509
795,514
265,513
227,520
596,519
677,523
667,527
730,530
964,531
135,533
700,533
842,532
183,534
792,535
237,540
329,547
134,551
781,554
811,556
67,562
187,566
764,563
274,568
459,573
868,570
428,584
493,578
822,574
554,577
800,577
444,590
524,588
851,582
364,586
502,584
133,589
832,589
498,595
462,593
482,595
510,596
528,597
597,600
158,602
304,602
