x,y
1628,32
1633,44
1618,46
1661,48
2138,50
1690,52
1675,53
1786,54
1724,57
1819,58
1875,61
3296,61
1645,64
2022,74
2061,68
1904,68
1577,71
1698,70
1865,70
1749,74
2042,74
1674,73
1712,81
1764,74
1877,79
2000,80
1603,75
1624,77
1690,76
1779,76
1791,75
1916,77
1851,81
1893,78
2133,79
2142,79
1637,82
1794,86
1947,83
1766,86
2018,85
1558,88
1724,89
1903,90
2059,88
1586,90
1824,90
1840,91
1976,89
2046,91
2102,91
1660,91
1779,92
1884,93
1810,95
1922,93
2006,93
1611,96
1861,99
1992,96
2023,97
2071,97
1547,100
1689,99
1730,101
1978,99
2142,100
2264,99
1532,102
1620,99
1789,105
1834,104
2000,102
2115,100
2685,104
1904,103
769,104
1598,106
2355,105
2667,110
1993,107
2075,117
2095,108
2600,110
1716,122
2057,112
2464,111
1701,114
1752,113
1983,112
2151,111
1929,114
2009,114
2026,119
2630,114
2646,115
1586,117
1769,122
1802,117
2174,115
2245,114
2285,114
2577,116
1566,119
1784,122
2041,119
2112,119
2709,120
1111,123
1883,121
1904,121
2097,120
2448,120
1744,122
1957,123
2149,127
2586,121
2598,123
1698,126
2010,135
2084,126
1545,127
1976,126
2559,126
2627,128
2740,126
1663,128
1724,128
1937,130
1987,129
2129,129
2281,128
2674,126
1644,131
1830,131
2311,131
2426,130
2721,129
1890,133
2702,132
2780,134
1566,134
1584,135
1757,137
1841,134
1906,135
2031,136
2099,134
2255,133
1654,137
1736,137
1799,136
2208,134
2573,136
2770,136
1627,138
1692,140
1722,138
1964,139
1993,140
2048,138
2140,139
2235,138
2341,143
2397,138
2426,143
2538,141
2617,137
2644,138
2754,135
2798,140
2851,139
1598,140
1926,144
2549,139
2560,143
2821,139
353,143
1537,144
1669,143
1819,144
1952,143
2258,142
2314,147
2380,144
2457,142
1569,145
1619,145
1978,144
2359,145
1662,150
1766,148
1786,146
1843,150
1903,146
2280,146
1552,150
1684,153
1741,151
1968,148
2175,149
2506,148
2569,148
2726,148
2751,148
1718,151
1960,150
2071,150
2332,153
2603,151
2628,149
2694,150
2707,150
1522,152
1579,156
1630,153
2090,152
2159,157
2368,150
2662,150
2800,154
1610,155
2106,154
1803,156
1907,155
1977,155
2149,154
2288,157
2407,154
2475,156
2534,156
2546,156
1817,157
2016,158
2433,155
2556,156
2865,158
562,161
1700,159
1760,158
1873,161
1969,157
2007,162
2116,167
2357,165
2425,159
2488,160
2767,159
2030,164
2180,172
2375,162
2522,161
2589,162
2823,163
2200,166
2840,165
1858,167
1964,167
2095,168
2248,167
2334,167
2460,166
1765,166
1780,167
1952,168
1976,168
2233,173
2813,167
1560,169
1665,170
1995,171
2131,176
2279,175
2394,169
2786,168
2869,169
1644,172
1737,172
1934,177
2483,172
2883,171
1590,174
1714,173
1906,177
2144,181
2533,173
2546,172
2755,173
2770,173
1616,175
1809,176
2780,174
693,180
1858,180
1982,177
2043,179
2056,177
2169,177
2341,181
2474,179
2746,177
1745,179
2031,182
2070,182
2425,182
2727,182
1687,184
1794,184
1964,194
2094,187
2107,189
2205,191
2264,189
2380,188
2397,187
1753,188
1776,191
2016,194
2090,194
2283,194
2862,192
2120,200
2362,194
2832,192
2055,198
2405,196
2740,199
2809,195
610,201
1723,199
1870,197
1917,197
1936,198
2140,207
2251,201
2718,200
1744,206
1888,201
2393,200
2782,197
1832,201
2222,209
2273,205
2317,202
2489,203
448,206
2026,206
2378,207
2510,203
2528,203
2699,207
2786,210
2107,206
2652,204
2040,208
2362,209
1682,211
1695,210
1991,210
2076,210
2089,211
2439,215
2544,211
2847,209
2413,213
2718,212
2862,211
545,217
695,215
786,213
1791,213
1869,214
2398,215
2630,213
1885,216
1909,216
1948,217
2198,216
2557,217
2685,214
1922,217
2009,217
2021,217
2069,218
2265,216
2300,218
2330,218
1983,224
2040,221
2053,220
2170,224
2828,219
1741,223
1777,222
1940,230
1962,223
2372,222
2766,221
2805,222
2101,223
2214,223
2285,230
2357,226
2752,224
2795,225
2846,222
2147,226
2192,231
2314,230
2425,228
2240,228
2264,228
2634,225
2775,228
2121,230
2331,229
2408,229
745,233
819,234
2134,230
2383,232
2729,234
1976,232
2178,235
2825,233
832,237
1918,237
2323,235
2859,235
353,238
2028,238
2244,240
2347,242
1506,244
1960,242
2547,244
2751,243
2789,241
2083,244
2210,246
2231,243
2158,246
2458,246
2812,246
2869,246
2317,249
2851,249
1645,254
2280,251
2552,250
1634,254
2113,252
2261,254
2319,261
2617,259
2004,262
2338,263
2438,265
2205,265
2653,266
1837,268
2538,267
2860,270
2184,272
2753,277
1171,282
355,279
731,278
1264,282
1491,281
2976,283
1964,283
1584,284
1714,285
303,287
768,289
2790,290
3026,286
2338,291
1596,295
1368,295
692,298
1222,295
1816,298
1148,300
1650,300
2363,299
2948,303
3030,300
598,304
940,305
1305,309
2800,305
1059,312
2395,311
3343,321
2868,322
1580,332
1939,329
1817,332
2059,332
2507,330
1464,334
1542,336
2001,333
3400,335
558,338
347,338
1086,344
2132,344
888,345
1400,349
2335,352
2908,352
781,353
2261,354
3437,353
128,358
1360,362
1163,359
1903,360
1557,371
1626,365
2080,370
2222,373
2584,372
737,377
2210,374
2826,377
1116,379
2749,386
3034,382
2763,379
1207,380
2489,382
1447,382
993,391
1623,391
2396,387
25,392
760,388
1839,391
488,396
1054,399
2145,397
1357,401
1446,398
2754,401
2966,402
3025,400
2347,401
2648,400
2277,404
2089,408
2883,412
1535,411
579,417
1880,416
2847,412
660,416
685,422
1505,419
1323,426
778,426
2601,427
888,427
1167,429
1817,430
479,435
1095,434
1992,436
1427,440
76,441
209,441
2082,440
3039,442
3365,443
731,446
2333,449
3431,451
3216,449
906,451
2978,451
1921,452
982,455
2951,464
2325,458
3116,466
361,463
2550,463
1279,468
2149,467
1120,471
2269,468
1989,471
2776,476
2921,478
3093,472
966,479
1190,481
1873,478
23,482
1685,480
458,484
300,489
871,489
1734,486
1123,489
3225,488
1597,491
1534,495
198,496
1826,501
929,509
3049,508
497,515
662,511
14,514
1304,515
2166,514
2770,516
1478,520
2973,519
3084,519
3500,519
3110,525
388,525
507,522
1756,524
755,526
1378,525
677,526
3234,531
868,533
2516,534
3421,530
120,535
1835,536
2063,537
999,543
1910,539
2619,538
3401,542
442,543
1606,545
1685,544
3464,545
3072,550
488,551
1277,549
3355,550
316,554
1428,553
2343,550
3149,556
2753,556
329,558
403,556
2010,562
498,570
957,562
2022,563
518,566
2007,565
2192,564
3028,565
1361,568
2615,567
16,566
1267,569
2900,570
1839,574
1427,581
1701,584
30,588
103,586
1151,587
2537,585
592,589
1608,588
1988,591
191,590
2482,597
470,597
3006,599
312,602
1944,604
2167,603
3313,602
1888,604
2047,605
2865,606
2058,606
1511,609
1841,608
410,610
2177,608
1766,611
2601,618
613,617
1446,618
712,616
3446,622
1758,618
833,627
1368,623
2050,624
1762,626
1930,627
2201,627
2691,628
465,632
476,635
3026,627
3258,633
916,636
1093,633
207,637
91,637
1146,637
1288,639
2586,635
1845,640
2591,639
3371,640
2587,639
1422,641
2074,643
2268,645
385,650
1019,648
1507,647
1764,646
536,649
711,652
586,654
1522,651
1914,648
2588,653
698,653
1903,651
2547,657
1587,658
2315,663
2005,659
3288,659
302,661
2663,662
2859,665
2982,665
3452,664
2211,666
2548,669
2789,670
2579,673
131,676
1842,676
3035,679
1401,680
2177,685
70,686
2926,681
1498,684
1573,693
1927,694
3225,693
1765,694
439,697
2324,703
2819,697
3159,697
1454,702
2139,700
1263,702
2636,705
926,707
700,707
1393,707
446,710
685,714
1199,715
2782,710
906,713
1972,719
2471,724
2544,719
83,724
465,725
1509,725
337,726
482,726
3098,728
1577,730
2091,729
1667,732
2621,735
146,737
1388,740
3183,737
3448,742
415,739
1745,738
1920,739
2181,745
2350,739
1186,743
1069,742
2320,744
2004,748
2064,749
570,748
613,750
1279,750
1869,754
294,752
63,754
1555,757
1453,758
637,764
2681,766
2122,765
613,769
625,771
3485,775
1322,778
2479,778
2597,779
1979,788
410,789
1393,790
1922,789
3422,792
610,796
3127,796
25,795
1549,796
1143,798
1835,801
3397,799
368,799
1247,802
3441,801
1442,806
1493,804
1659,805
2689,804
2955,804
3291,805
219,812
377,805
971,812
724,811
504,811
1434,817
2183,819
1274,818
15,822
1384,824
2038,824
2370,829
1784,827
550,830
639,830
141,837
1454,836
1763,836
1840,845
1914,835
1600,838
1741,836
1792,839
3070,839
3460,842
2173,839
2375,840
742,844
2172,849
3136,848
1313,850
3382,849
2116,863
1333,862
1850,853
2514,858
1408,861
3135,860
595,864
2051,862
453,867
1400,864
2155,868
1562,869
1632,876
2966,870
216,879
1992,878
3108,883
1658,882
3257,882
3482,884
1903,889
2039,899
261,892
2241,894
769,899
2056,900
2661,897
1590,911
1814,900
1473,901
140,906
1993,909
2039,914
2054,913
1435,919
3124,919
1813,929
2546,921
2423,924
1518,928
899,936
1186,931
1740,930
3494,927
1897,929
2602,931
286,933
3464,940
1381,936
1610,939
3062,937
2703,944
918,940
910,941
2159,941
1614,943
1848,953
2297,951
1837,960
2072,961
1648,964
2776,964
454,968
2616,970
2252,982
2148,982
3108,993
2168,998
2483,999
2961,997
1499,998
2901,1009
514,1017
839,1036
2896,1034
3014,1046
575,1053
481,1054
2225,1056
788,1056
1293,1055
1785,1054
1306,1058
1287,1070
2230,1066
1571,1072
3496,1079
2996,1078
2623,1087
1073,1092
3362,1092
1232,1102
858,1106
1100,1108
2469,1109
867,1114
764,1114
819,1117
3005,1129
2591,1131
2544,1134
2123,1142
2128,1144
2568,1149
2117,1153
2124,1149
2544,1152
2105,1151
2111,1159
2119,1161
3408,1160
