x,y
860,1
885,10
893,0
918,0
926,9
1118,3
1169,1
1182,3
1204,7
865,12
1251,18
1118,19
1447,21
1969,24
1985,30
1448,28
1949,32
1282,38
806,37
1110,38
556,41
584,41
1225,47
634,46
813,45
1268,45
1420,43
2092,45
515,49
1127,49
1406,48
1426,49
1215,51
2081,50
1437,54
2108,54
518,58
1932,64
1394,61
1448,65
1954,65
1213,62
575,70
1194,70
1183,74
2668,73
629,77
962,78
1248,75
1439,79
1489,80
1934,81
1230,82
1239,82
1182,86
1481,89
1167,89
1490,93
1216,93
232,95
1154,98
3299,102
3027,105
209,101
3044,106
1204,106
1498,103
30,109
47,110
249,114
1535,110
2469,112
2961,113
452,111
1423,112
1502,111
1511,109
506,113
1015,113
1110,114
2843,111
3259,115
938,116
3291,122
1512,118
56,120
2740,120
2762,119
985,119
1120,122
1424,125
1490,125
1499,120
2686,123
3069,122
1531,123
3297,125
444,124
979,126
2472,124
2831,124
1564,125
2602,128
2963,128
989,128
1461,131
1551,132
2739,129
941,132
1125,135
1237,139
571,136
1431,134
1566,137
2472,139
607,138
1147,138
1205,141
1468,139
1487,137
2600,143
957,142
3190,142
1453,151
2589,152
3179,148
579,147
614,147
1590,149
2614,148
2835,147
995,150
1560,154
2323,151
2475,155
3166,158
60,155
2491,154
2523,156
2685,157
1549,162
1647,163
2878,159
818,164
923,164
1575,162
2533,163
2541,161
2989,164
1563,165
1628,173
1623,168
2228,172
2362,172
2943,168
3007,169
3165,171
1549,171
1680,175
1577,174
3151,172
3172,172
803,179
963,180
1261,180
2359,181
1583,187
795,188
2255,182
2755,189
1249,188
2926,187
813,190
973,188
1626,193
2762,189
513,194
1590,192
1716,195
2251,194
2268,197
2747,194
1706,199
998,198
3024,199
497,201
1593,199
1168,205
2921,204
1570,207
1667,207
1591,209
1644,216
1631,210
1697,212
2060,213
1175,212
1249,214
2107,212
1709,212
490,217
542,220
2071,220
1678,217
2395,217
1584,219
1690,220
133,222
1712,226
428,225
1001,227
1454,232
1574,226
2058,229
207,232
2741,226
417,234
2241,231
2385,228
1480,232
1665,232
128,232
1516,234
2298,241
140,235
173,234
188,236
2028,239
126,241
1466,239
1476,240
2467,250
2573,245
1523,245
1628,243
1847,250
901,251
1614,258
1842,260
1711,258
1825,260
1663,267
2074,263
2253,271
912,266
1635,267
1870,267
218,270
1730,269
1811,267
1812,276
1798,276
1726,277
1927,281
232,280
1734,281
2243,291
2264,290
2293,287
1792,287
1968,291
92,291
1897,295
1865,303
1800,305
1809,304
1541,309
1927,313
697,314
738,312
1551,311
1761,324
2200,316
1854,316
1838,324
2177,321
708,321
1855,326
2139,328
1790,326
2001,331
1656,326
1887,329
1941,335
1763,331
1954,335
2156,338
740,335
1657,333
717,343
1759,339
1909,338
1928,340
2143,339
1751,351
231,359
252,358
2107,360
656,364
702,364
171,371
2123,369
244,372
2094,377
